	index	Dataset	Unit Id	Title Id	Title	Snippet Id	Snippet	Overlapping Snippet	Snippet Relevance Score	Number of Relevant Mentions	Overall Sentiment-Intensity	Relevant Mention	Relevant Mention Score	Positive Sentiment	Negative Sentiment	Neutral Sentiment	High Intensity	Low Intensity	Medium Intensity	Title Snippet Index
0	0	DS1	266	29729	Southern Ocean whale slaughter to resume	10-NonOver	`` And for that very reason , we 're doing our very best and are succeeding in keeping up with the factory whaling ship .	0	0.11	1	1.0			1.0	0.0	0.0	0.316227766	0.0	0.9486832981	10
1	1	DS1	17	31648	Greenpeace, Sea Shepherds end Southern Ocean whaling protest	10-Over	`` For a month now we have dogged , delayed and disrupted the whaling fleet in the Southern Ocean Whale Sanctuary , and have no doubt that they have fallen far behind in their bid to slaughter 935 minke whales and 10 endangered fin whales .	1	0.47	6	1.0			1.0	0.0	0.0	0.2182178902	0.4364357805	0.8728715609	10
2	2	DS1	49	120875	500 stranded melon-headed whales rescued in Philippine bay	5-Over	Using dozens of fishing boats with machines shut down and bare hands , more than 100 village fishermen and volunteers along with BFAR , local police and Philippine Coast Guard personnel have joined the massive rescue .	1	0.46	4	1.0			1.0	0.0	0.0	0.6246950476	0.0	0.7808688094	5
3	3	DS1	6	123451	One day after attempted rescue, six stranded whales die on Australian beach	9-Over	The other four whales rescued Tuesday are still believed to be at sea , and department officials are monitoring the ocean to verify their safety .	1	0.3	2	1.0			1.0	0.0	0.0	0.0	0.5144957554	0.8574929257	9
4	4	DS1	263	18187	Greenpeace tries to thwart Chesapeake Bay fishing fleet	15-Over	The Chesapeake Bay Foundation , a not-for-profit organization , had praise for Maryland Governor Robert Ehrlich , and the state 's Department of Natural Resources .	1	0.26	3	1.0			0.9899494937	0.0	0.1414213562	0.0	0.8574929257	0.5144957554	15
5	5	DS1	145	25940	"Japan to hunt 950 whales for ""scientific research"""	31-Over	`` There 's also increasing evidence that non-lethal means can be used to take data from whales to obtain information about whaling stocks . ''	1	0.14	3	1.0			0.9899494937	0.0	0.1414213562	0.1825741858	0.9128709292	0.3651483717	31
6	6	DS1	160	31479	Rescue teams try to save London whale	9-Over	They hope to be able to release the whale in as deep water as possible , but only if it is in good enough health .	1	0.68	8	1.0			0.9899494937	0.0	0.1414213562	0.0	0.7071067812	0.7071067812	9
7	7	DS1	180	28661	Greenpeace activists clash with Japanese whaling fleet in Southern Ocean	8-Over	In inflatables carrying banners which read `` defend the whales '' and `` stop the whaling , '' crew from the two ships declared their intention to stop the hunt .	1	0.33	5	1.0			0.9863939238	0.0	0.1643989873	0.7276068751	0.4850712501	0.4850712501	8
8	8	DS1	233	7290	13 pilot whales returning to sea, off Western Australia	8-Over	One CALM officer , Neil Taylor , told ABC News dozens of his colleagues and community volunteers had helped the whales survive throughout the night .	1	0.34	1	1.0			0.9863939238	0.1643989873	0.0	0.2182178902	0.8728715609	0.4364357805	8
9	9	DS1	21	31648	Greenpeace, Sea Shepherds end Southern Ocean whaling protest	13-Over	Hideki Moronuki from Japan 's Fisheries Agency is pleased the whaling mission will no longer be obstructed : `` Although Greenpeace say that they 're activities are peaceful , their activities are really dangerous and illegal , '' he said .	1	0.69	7	1.0			0.9863939238	0.1643989873	0.0	0.1924500897	0.1924500897	0.9622504486	13
10	10	DS1	87	87842	Japan backs down from hunting Humpback whales	4-Over	Today 's decision will save 50 humpback whales that Japanese whalers had planned to catch and kill in Antarctic waters .	1	0.82	12	1.0			0.9805806757	0.1961161351	0.0	0.2672612419	0.5345224838	0.8017837257	4
11	11	DS1	222	8453	Australian blitz on fish poaching	19-NonOver	`` Provide the extra funding , provide the extra resources to the Navy and the Customs and then they will be able to stop the illegal boats , not only when they run an operation but every day , every week , every month , '' Mr Vatskalis told the ABC .	0	0.12	1	1.0			0.9733285268	0.1622214211	0.1622214211	0.1825741858	0.3651483717	0.9128709292	19
12	12	DS1	270	29729	Southern Ocean whale slaughter to resume	15-Over	The whalers have been unable to kill any whales since Christmas Eve due to poor weather and harassment by Greenpeace vessels , and the Washington-based Sea Shepherd ship , RV Farley Mowat .	1	0.31	3	1.0			0.9733285268	0.1622214211	0.1622214211	0.4264014327	0.6396021491	0.6396021491	15
13	13	DS1	69	43426	IWC passes pro-whaling resolution after close vote	4-Over	The vote is considered a victory for Japan , which has long argued for a return to commercial whaling , and has been ` recruiting ' sympathetic nations to join the IWC in order to bolster its vote .	1	0.82	10	1.0			0.9622504486	0.1924500897	0.1924500897	0.0	0.8	0.6	4
14	14	DS1	163	31479	Rescue teams try to save London whale	14-Over	The whale sightings have captivated the British public , with spectators lining the banks of the Thames to take photographs and try and spot the whale .	1	0.38	7	1.0			0.9615239476	0.0	0.2747211279	0.1561737619	0.3123475238	0.9370425713	14
15	15	DS1	231	7290	13 pilot whales returning to sea, off Western Australia	6-Over	Several power boats and a spotter plane were escorting the surviving whales towards Cape Naturalist , in an operation expected to take several hours .	1	0.34	3	1.0			0.9486832981	0.0	0.316227766	0.1961161351	0.7844645406	0.5883484054	6
16	16	DS1	158	25940	"Japan to hunt 950 whales for ""scientific research"""	27-Over	He has advised that the Australian Government has very strong grounds to take Japan to in the International Law of the Sea to stop `` scientific '' whaling .	1	0.64	3	1.0			0.9486832981	0.0	0.316227766	0.6396021491	0.4264014327	0.6396021491	27
17	17	DS1	68	43426	IWC passes pro-whaling resolution after close vote	22-Over	Japanese commissioner , Mr Minoru Morimoto , praised the winning vote and said the declaration `` added weight to Japan 's proposal to normalize the IWC and bring it back to its original function of managing and regulating sustainable commercial whaling . ''	1	0.49	9	1.0			0.9486832981	0.0	0.316227766	0.4082482905	0.4082482905	0.8164965809	22
18	18	DS1	66	120875	500 stranded melon-headed whales rescued in Philippine bay	6-Over	With great difficulty , the emergency team has waded into the chest-deep water , clapping their hands and hitting the surface to guide and drive the whales farther away from the coastal shore to deeper waters .	1	0.54	7	1.0			0.9370425713	0.1561737619	0.3123475238	0.1561737619	0.3123475238	0.9370425713	6
19	19	DS1	8	31550	London whale dies	6-NonOver	A humane killing had been considered .	0	0.1	1	1.0			0.9370425713	0.3123475238	0.1561737619	0.1561737619	0.9370425713	0.3123475238	6
20	20	DS1	134	84170	Japan fishermen clash with surfers over 2007 dolphin hunt	10-Over	As the demand for whale and dolphin meat for use in sushi has declined , the Government of Japan now has to financially subsidize the industry to support the local economy .	1	0.18	3	1.0			0.9370425713	0.3123475238	0.1561737619	0.0	0.4472135955	0.894427191	10
21	21	DS1	228	7290	13 pilot whales returning to sea, off Western Australia	10-Over	`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . ''	1	0.7	6	1.0			0.9284766909	0.0	0.3713906764	0.4850712501	0.7276068751	0.4850712501	10
22	22	DS1	271	29729	Southern Ocean whale slaughter to resume	35-Over	`` As far as I am concerned both Sea Shepherd and Greenpeace are working towards a common objective -- the shutting down of illegal whaling in the Southern Ocean , '' said Paul Watson .	1	0.56	5	1.0			0.9128709292	0.1825741858	0.3651483717	0.0	0.5144957554	0.8574929257	35
23	23	DS1	168	31479	Rescue teams try to save London whale	4-Over	Rescue teams quickly moved the whale onto an inflatable pontoon , keeping the whale in water but with its blowhole above the surface .	1	0.66	6	1.0			0.9128709292	0.1825741858	0.3651483717	0.1961161351	0.7844645406	0.5883484054	4
24	24	DS1	162	31479	Rescue teams try to save London whale	16-Over	Initial plans to transfer the whale from the barge `` Crossness '' to a deep-sea ship have been abandoned as the condition of the whale deteriorates , but it is still hoped to release the whale in the Thames estuary .	1	0.59	7	1.0			0.9128709292	0.1825741858	0.3651483717	0.0	0.7071067812	0.7071067812	16
25	25	DS1	78	43426	IWC passes pro-whaling resolution after close vote	18-NonOver	In response , Greenpeace says they were dedicated to the principles of `` peaceful protests '' , adding that the threat was to the world 's whales .	0	0.11	1	1.0			0.9128709292	0.1825741858	0.3651483717	0.1961161351	0.5883484054	0.7844645406	18
26	26	DS1	38	139305	Humpback whale found dead in River Thames, England	4-Over	It was the first whale of its kind to be found in the river .	1	0.71	4	1.0			0.9128709292	0.1825741858	0.3651483717	0.1961161351	0.5883484054	0.7844645406	4
27	27	DS1	41	139305	Humpback whale found dead in River Thames, England	15-Over	`` Although it 's obviously a sad outcome in this instance , the post-mortem examination has given us a rare opportunity to examine a truly extraordinary animal at close quarters .	1	0.12	1	1.0			0.9128709292	0.1825741858	0.3651483717	0.0	0.7071067812	0.7071067812	15
28	28	DS1	224	8453	Australian blitz on fish poaching	10-Over	A 1906 Australian claim on as much as 80 % of the waters has since been softened by a Memorandum of Understanding ( MOU ) between the two governments , recognizing some traditional fishing rights .	1	0.39	3	1.0			0.894427191	0.0	0.4472135955	0.0	0.4472135955	0.894427191	10
29	29	DS1	172	28687	Japanese whaling ship to dock in Hobart	6-Over	Greenpeace CEO Steve Shallhorn said that it is an opportunity for Australia to demonstrate its opposition .	1	0.16	6	1.0			0.894427191	0.0	0.4472135955	0.174077656	0.6963106238	0.6963106238	6
30	30	DS1	137	58447	Ship accident in Norwegian sea causes environmental catastrophe	5-NonOver	The entire 25-man crew was brought to land around 9pm by a Sea King-helicopter .	0	0.22	2	1.0			0.894427191	0.0	0.4472135955	0.2357022604	0.9428090416	0.2357022604	5
31	31	DS1	83	87842	Japan backs down from hunting Humpback whales	9-NonOver	`` I think there 's little doubt the Australian intervention has caused Tokyo to change its mind , '' he said .	0	0.3	5	1.0			0.894427191	0.0	0.4472135955	0.1561737619	0.3123475238	0.9370425713	9
32	32	DS1	202	28661	Greenpeace activists clash with Japanese whaling fleet in Southern Ocean	13-Over	`` We 're going to do everything we can over the coming weeks to interfere with the whaling process , and stop the whales being killed , '' he said , `` our small boats will be putting themselves between the harpoon and the whale .	1	0.4	8	1.0			0.894427191	0.4472135955	0.0	0.8703882798	0.3481553119	0.3481553119	13
33	33	DS1	173	28687	Japanese whaling ship to dock in Hobart	9-Over	`` In some respects it can be counter-productive although I share the passion , I share their objective , we share of the objective of trying to stop whaling , '' he said .	1	0.08	1	1.0			0.894427191	0.4472135955	0.0	0.5070925528	0.1690308509	0.8451542547	9
