Index,Job Id,Unit Id,Title Id,Title,Snippet Id,Snippet,Overlapping Snippet,Snippet Relevance Score,Number of Relevant Mentions,Overall Sentiment-Intensity,Relevant Mention,Relevant Mention Score,Positive Sentiment,Negative Sentiment,Neutral Sentiment,High Intensity,Low Intensity,Medium Intensity
1,91,6,123451,"One day after attempted rescue, six stranded whales die on Australian beach",9-Over,"The other four whales rescued Tuesday are still believed to be at sea , and department officials are monitoring the ocean to verify their safety .",1,,2,1,,,1,0,0,0,0.5144957554,0.8574929257
2,92,49,120875,500 stranded melon-headed whales rescued in Philippine bay,5-Over,"Using dozens of fishing boats with machines shut down and bare hands , more than 100 village fishermen and volunteers along with BFAR , local police and Philippine Coast Guard personnel have joined the massive rescue .",1,,4,1,,,1,0,0,0.6246950476,0,0.7808688094
3,93,266,29729,Southern Ocean whale slaughter to resume,10-NonOver,"`` And for that very reason , we 're doing our very best and are succeeding in keeping up with the factory whaling ship .",0,,1,1,,,1,0,0,0.316227766,0,0.9486832981
4,96,17,31648,"Greenpeace, Sea Shepherds end Southern Ocean whaling protest",10-Over,"`` For a month now we have dogged , delayed and disrupted the whaling fleet in the Southern Ocean Whale Sanctuary , and have no doubt that they have fallen far behind in their bid to slaughter 935 minke whales and 10 endangered fin whales .",1,,6,1,,,1,0,0,0.2182178902,0.4364357805,0.8728715609
5,92,145,25940,"Japan to hunt 950 whales for ""scientific research""",31-Over,`` There 's also increasing evidence that non-lethal means can be used to take data from whales to obtain information about whaling stocks . '',1,,3,1,,,0.9899494937,0,0.1414213562,0.1825741858,0.9128709292,0.3651483717
6,93,263,18187,Greenpeace tries to thwart Chesapeake Bay fishing fleet,15-Over,"The Chesapeake Bay Foundation , a not-for-profit organization , had praise for Maryland Governor Robert Ehrlich , and the state 's Department of Natural Resources .",1,,3,1,,,0.9899494937,0,0.1414213562,0,0.8574929257,0.5144957554
7,96,160,31479,Rescue teams try to save London whale,9-Over,"They hope to be able to release the whale in as deep water as possible , but only if it is in good enough health .",1,,8,1,,,0.9899494937,0,0.1414213562,0,0.7071067812,0.7071067812
8,97,180,28661,Greenpeace activists clash with Japanese whaling fleet in Southern Ocean,8-Over,"In inflatables carrying banners which read `` defend the whales '' and `` stop the whaling , '' crew from the two ships declared their intention to stop the hunt .",1,,5,1,,,0.9863939238,0,0.1643989873,0.7276068751,0.4850712501,0.4850712501
9,92,233,7290,"13 pilot whales returning to sea, off Western Australia",8-Over,"One CALM officer , Neil Taylor , told ABC News dozens of his colleagues and community volunteers had helped the whales survive throughout the night .",1,,1,1,,,0.9863939238,0.1643989873,0,0.2182178902,0.8728715609,0.4364357805
10,96,21,31648,"Greenpeace, Sea Shepherds end Southern Ocean whaling protest",13-Over,"Hideki Moronuki from Japan 's Fisheries Agency is pleased the whaling mission will no longer be obstructed : `` Although Greenpeace say that they 're activities are peaceful , their activities are really dangerous and illegal , '' he said .",1,,7,1,,,0.9863939238,0.1643989873,0,0.1924500897,0.1924500897,0.9622504486
11,96,87,87842,Japan backs down from hunting Humpback whales,4-Over,Today 's decision will save 50 humpback whales that Japanese whalers had planned to catch and kill in Antarctic waters .,1,,12,1,,,0.9805806757,0.1961161351,0,0.2672612419,0.5345224838,0.8017837257
12,92,222,8453,Australian blitz on fish poaching,19-NonOver,"`` Provide the extra funding , provide the extra resources to the Navy and the Customs and then they will be able to stop the illegal boats , not only when they run an operation but every day , every week , every month , '' Mr Vatskalis told the ABC .",0,,1,1,,,0.9733285268,0.1622214211,0.1622214211,0.1825741858,0.3651483717,0.9128709292
13,93,270,29729,Southern Ocean whale slaughter to resume,15-Over,"The whalers have been unable to kill any whales since Christmas Eve due to poor weather and harassment by Greenpeace vessels , and the Washington-based Sea Shepherd ship , RV Farley Mowat .",1,,3,1,,,0.9733285268,0.1622214211,0.1622214211,0.4264014327,0.6396021491,0.6396021491
14,96,69,43426,IWC passes pro-whaling resolution after close vote,4-Over,"The vote is considered a victory for Japan , which has long argued for a return to commercial whaling , and has been ` recruiting ' sympathetic nations to join the IWC in order to bolster its vote .",1,,10,1,,,0.9622504486,0.1924500897,0.1924500897,0,0.8,0.6
